
---------- Begin Simulation Statistics ----------
simSeconds                                   0.019820                       # Number of seconds simulated (Second)
simTicks                                  19819954872                       # Number of ticks simulated (Tick)
finalTick                                 19819954872                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    561.98                       # Real time elapsed on the host (Second)
hostTickRate                                 35268329                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4404200                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       96871706                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    88972                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     172377                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           333                       # Clock period in ticks (Tick)
system.cpu.numCycles                         59519385                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.190388                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.840062                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       108486234                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      164                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      105415258                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 187099                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11614676                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19328498                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  98                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            59295367                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.777799                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.481391                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  33306015     56.17%     56.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3703130      6.25%     62.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   3989014      6.73%     69.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3724848      6.28%     75.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4308018      7.27%     82.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3319406      5.60%     88.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2685004      4.53%     92.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1459026      2.46%     95.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2800906      4.72%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              59295367                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  438353     14.89%     14.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     14.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     14.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.89% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     14.89% # attempts to use FU when none available (Count)
