
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020206                       # Number of seconds simulated (Second)
simTicks                                  20206039734                       # Number of ticks simulated (Tick)
finalTick                                 20206039734                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    580.26                       # Real time elapsed on the host (Second)
hostTickRate                                 34822130                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4404152                       # Number of bytes of host memory used (Byte)
simInsts                                     50000000                       # Number of instructions simulated (Count)
simOps                                       96871706                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    86168                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     166944                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           333                       # Clock period in ticks (Tick)
system.cpu.numCycles                         60678799                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.213576                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.824011                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       108538883                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      174                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      105436545                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 188694                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             11667335                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          19450587                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 108                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            60461153                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.743873                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.468048                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  34436296     56.96%     56.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   3719302      6.15%     63.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   4004974      6.62%     69.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3721141      6.15%     75.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   4327673      7.16%     83.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3316546      5.49%     88.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2691117      4.45%     92.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   1449084      2.40%     95.38% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2795020      4.62%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              60461153                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  432506     14.71%     14.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     14.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     14.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     14.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     14.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     14.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     14.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     14.71% # attempts to use FU when none available (Count)
