
---------- Begin Simulation Statistics ----------
simSeconds                                   0.011892                       # Number of seconds simulated (Second)
simTicks                                  11892429333                       # Number of ticks simulated (Tick)
finalTick                                 11892429333                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    566.15                       # Real time elapsed on the host (Second)
hostTickRate                                 21005739                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4402928                       # Number of bytes of host memory used (Byte)
simInsts                                     50000001                       # Number of instructions simulated (Count)
simOps                                       80745395                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    88316                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     142621                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           333                       # Clock period in ticks (Tick)
system.cpu.numCycles                         35713002                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.714260                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.400050                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        87326637                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       49                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       85041386                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 173311                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6581242                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14556691                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  37                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            35512827                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.394667                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.160442                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   7952398     22.39%     22.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   7014938     19.75%     42.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6444563     18.15%     60.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4381391     12.34%     72.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3622970     10.20%     82.83% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2582561      7.27%     90.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1301195      3.66%     93.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    921194      2.59%     96.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1291617      3.64%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              35512827                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  218976     35.54%     35.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     35.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     35.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     35.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     35.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     35.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     35.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     35.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     35.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     35.54% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     35.54% # attempts to use FU when none available (Count)
