
---------- Begin Simulation Statistics ----------
simSeconds                                   0.010608                       # Number of seconds simulated (Second)
simTicks                                  10607984064                       # Number of ticks simulated (Tick)
finalTick                                 10607984064                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    563.20                       # Real time elapsed on the host (Second)
hostTickRate                                 18835316                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4402688                       # Number of bytes of host memory used (Byte)
simInsts                                     50000001                       # Number of instructions simulated (Count)
simOps                                       80745395                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    88779                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     143370                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           333                       # Clock period in ticks (Tick)
system.cpu.numCycles                         31855809                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.637116                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.569572                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        87305748                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       42                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       85024421                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 171504                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              6560357                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14538941                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  30                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            31658150                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.685704                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.115291                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   4226347     13.35%     13.35% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   6834122     21.59%     34.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   6521736     20.60%     55.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4313335     13.62%     69.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3629903     11.47%     80.63% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2621622      8.28%     88.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   1288793      4.07%     92.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    931994      2.94%     95.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1290298      4.08%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              31658150                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  222268     35.17%     35.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     35.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     35.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     35.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     35.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     35.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     35.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     35.17% # attempts to use FU when none available (Count)
